,0
0,avg_gauss1
1,avg_gauss2
2,avg_repulsion
3,avg_hydrophobic
4,avg_hydrogen
5,Model1.gauss1
6,Model1.gauss2
7,Model1.repulsion
8,Model1.hydrophobic
9,Model1.hydrogen
10,vina_score
11,[G1.1.1.1]
12,[G1.1.1.2]
13,[G1.1.1.3]
14,[G1.1.1.4]
15,[G1.1.1.5]
16,[G1.1.1.6]
17,[G1.1.1.7]
18,[G1.1.1.8]
19,[G1.1.1.9]
20,[G1.1.1.10]
21,[G1.1.1.11]
22,[G1.1.1.12]
23,[G1.1.1.13]
24,[G1.1.1.14]
25,[G1.1.1.15]
26,[G1.1.1.16]
27,[G1.1.1.17]
28,[G1.1.1.18]
29,[G1.1.1.19]
30,[G1.1.1.20]
31,[G2.1.1.1]
32,[G2.1.1.2]
33,[G2.1.1.3]
34,[G2.1.1.4]
35,[G2.1.1.5]
36,[G2.1.1.6]
37,[G2.1.1.7]
38,[G2.1.1.8]
39,[G2.1.1.9]
40,[G2.1.1.10]
41,[G2.1.1.11]
42,[G2.1.1.12]
43,[G2.1.1.13]
44,[G2.1.1.14]
45,[G2.1.1.15]
46,[G2.1.1.16]
47,[G2.1.1.17]
48,[G2.1.1.18]
49,[G2.1.1.19]
50,[G2.1.1.20]
51,[G2.1.1.21]
52,[G2.1.1.22]
53,[G2.1.1.23]
54,[G2.1.1.24]
55,[G2.1.1.25]
56,[G2.1.1.26]
57,[G2.1.1.27]
58,[G2.1.1.28]
59,[G2.1.1.29]
60,[G2.1.1.30]
61,[G2.1.1.31]
62,[G2.1.1.32]
63,[G2.1.1.33]
64,[G2.1.1.34]
65,[G2.1.1.35]
66,[G2.1.1.36]
67,[G2.1.1.37]
68,[G2.1.1.38]
69,[G2.1.1.39]
70,[G2.1.1.40]
71,[G2.1.1.41]
72,[G2.1.1.42]
73,[G2.1.1.43]
74,[G2.1.1.44]
75,[G2.1.1.45]
76,[G2.1.1.46]
77,[G2.1.1.47]
78,[G2.1.1.48]
79,[G2.1.1.49]
80,[G2.1.1.50]
81,[G2.1.1.51]
82,[G2.1.1.52]
83,[G2.1.1.53]
84,[G2.1.1.54]
85,[G2.1.1.55]
86,[G2.1.1.56]
87,[G2.1.1.57]
88,[G2.1.1.58]
89,[G2.1.1.59]
90,[G2.1.1.60]
91,[G2.1.1.61]
92,[G2.1.1.62]
93,[G2.1.1.63]
94,[G2.1.1.64]
95,[G2.1.1.65]
96,[G2.1.1.66]
97,[G2.1.1.67]
98,[G2.1.1.68]
99,[G2.1.1.69]
100,[G2.1.1.70]
101,[G2.1.1.71]
102,[G2.1.1.72]
103,[G2.1.1.73]
104,[G2.1.1.74]
105,[G2.1.1.75]
106,[G2.1.1.76]
107,[G2.1.1.77]
108,[G2.1.1.78]
109,[G2.1.1.79]
110,[G2.1.1.80]
111,[G2.1.1.81]
112,[G2.1.1.82]
113,[G2.1.1.83]
114,[G2.1.1.84]
115,[G2.1.1.85]
116,[G2.1.1.86]
117,[G2.1.1.87]
118,[G2.1.1.88]
